post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility
"Karmic Fire Cleansing Empowerment - Learn to Stand up to Spiritual Bullies",karmic-fire-cleansing-empowerment-learn-to-stand-up-to-spiritual-bullies,,24386,"""Karmic Fire Cleansing Empowerment is a brand new attunement that is very close to my heart because it has been channelled after personal experiences with spiritual attacks. This is also an attunement that is not for the faint-hearted and it is most certainly not for those who do not have the courage or strength to stand up to spiritual bullies! Too often within the spiritual community, we are told that we can only send love and light to those who hurt us, bully us, or attack us, even if these individuals have blatantly attacked us in the vilest and most abusive way. Too often these bullies and attackers feel that they can get away with these acts because fighting back is seen as being unspiritual and not the way a lightworker or spiritual person should behave but it is now time to stand up for yourself and to say NO MORE!. This distant attunement has been designed to work with a powerful and life-changing energy that I developed after a vicious psychic attack that I experienced for over 2 years.

If you find that you have been battling spiritual attacks for many years this will have created an intense spiritual connection including etheric cords and psychic attachments which can be embedded into your auric field which makes it much harder to remove. The attacker can also create a long line of Karma which unfortunately will pull you into its grasp. Now while you continue to live your life by pouring your energies into your day-to-day life, you will also know that something is occurring within your etheric background where you are continuously having to fight back to clear the energies and to remove stagnant/negative intentions. If like me, you then finally have solid proof of who is doing this to you, you will be better prepared to utilise Karmic Fire Cleansing to fight back! When I first started to work with this energy, I was shocked at just how powerful it was. Not only did it immediately start the process of releasing all cords and negative connections with this individual but it also empowered me to stand up for myself and to stand up to all spiritual bullies. It is therefore my hope that after you receive your attunement that you will be better prepared to fight back to destroy the negativity that has been placed upon you by those who do not have your highest intentions in their hearts."" (Jay Burrell)

&nbsp;

<strong>You will learn about the following and much more</strong>

<ul>
<li>Introduction to the Karmic Fire Cleansing Empowerment.</p></li>
<li><p>What is Karma and What is Karmic Fire Cleansing?</p></li>
<li><p>How does Karmic Fire Work?</p></li>
<li><p>How do you know if you are being Attacked?</p></li>
<li><p>Intentional and Unintentional Psychic Attacks.</p></li>
<li><p>Astral Psychic Attacks.</p></li>
<li><p>Sleep Paralysis Attacks.</p></li>
<li><p>Internal Monologue.</p></li>
<li><p>Signs of a Psychic Attack.</p></li>
<li><p>Protection Methods.</p></li>
<li><p>Ritual Bath Cleansing.</p></li>
<li><p>Clairalience - Extrasensory Perception through Scent.</p></li>
<li><p>Developing Clairalience.</p></li>
<li><p>Banishing &amp; Banishing Jar Spell.</p></li>
<li><p>Karmic Fire Cleansing Empowerment Symbols.</p></li>
<li><p>How to use the energies of Karmic Fire Cleansing</p></li>
</ul>

<p>You receive pdf manual, Chi Ball /Distant Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Get empowered with Karmic Fire Cleansing Attunement. Developed to fight back against psychic attacks, cords, and negative intentions. Receive your attunement today.",publish,,0,"2024-04-19 16:35:37",236945234,open,,,,yes,yes,,25,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-31_154334268.png ! alt :  ! title : Bild_2024-05-31_154334268 ! desc :  ! caption : ",The-Karmic-Fire-Cleansing-Empowerment-he4ehz.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/The-Karmic-Fire-Cleansing-Empowerment-he4ehz.pdf,https://simonneellesuryacenter.com/home/shop/karmic-fire-cleansing-empowerment-learn-to-stand-up-to-spiritual-bullies/,0,,"Jay Burrell",simple,,"All Attunements|Collections",#cleansing|#fire|#karmic,,
"Dragon Ki Reiki - Protection from Evil Energies and Evil Spirits!",dragon-ki-reiki-protection-from-evil-energies-and-evil-spirits,,24398,"<ul class=""aXkhmS"" dir=""ltr"" data-hook=""columns-info-section"">
    <li class=""CsrIwl TWHuR7 JSlVyv"" data-hook=""columns-info-item"">
<h2 class=""smepPp9 o__9K3pMQ---typography-11-runningText o__9K3pMQ---priority-7-primary _HOcyB JUtQCP sxbtulv"" aria-hidden=""false"" data-hook=""info-section-title"">Prerequisite: Reiki or Karuna Master</h2>
<div class=""zp8uy2"" data-hook=""info-section-description"">

Dragon Ki Reiki was channeled by Katie Margareta Willson.

&nbsp;

On the Spiritual Path, the Dragon Energies symbolise the Power to Fight against Evil and the will to Protection all People. The Energies are considered to be as close to those of a Spiritual Warrior as one can get. A Spiritual Warrior or Warrior of Light is someone who continuously fights Evil and Darkness or those who bring Darkness into another perosns life. Dragon Ki Reiki transofrms the Spirit at the Highest Levels and brings forth Protection against Evil Energies and Evil Spirits! Dragon Ki brings Physical and Spiritual Strength to those who work with the Energies.

You receive pdf manual, Chi Ball/Distant  Attunement, an emailed will be sent to you when your attunement are ready + certificate.

</div></li>
</ul>","Achieve spiritual and physical strength with Dragon Ki Reiki, the perfect protection against evil energies. Only for Reiki or Karuna Masters. Get attuned now !",publish,,0,"2024-04-19 16:53:51",236945234,open,,,,yes,yes,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-31_173432849-e1717169691644.png ! alt :  ! title : Bild_2024-05-31_173432849 ! desc :  ! caption : ",Dragon-Ki-Reiki-Manual-2005-5fpvb7.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Dragon-Ki-Reiki-Manual-2005-5fpvb7.pdf,https://simonneellesuryacenter.com/home/shop/dragon-ki-reiki-protection-from-evil-energies-and-evil-spirits/,0,,"Katie Margareta Willson",simple,,"All Attunements",#dragon|#reiki,,
"Angels - Guardian Watchers Reiki - Spiritual Protection, Guidance & Healing",angels-guardian-watchers-reiki-spiritual-protection-guidance-healing,,24414,"Angels are beings of Light who are here to help us in so many ways. The will never interfere with our lives without being asked, except on very rare occasions to Protect you when you still have work to do on Earth. The Guardian Watcher Angels are Powerful Protection Angels who are always watching us in order to keep us Safe and Protected from all forms of Harm or Malice. These Angels can be called upon to assist you in all forms of Protection from Physical, Mental and Spiritual Negativity, Entity Attachment, Satanic Magic etc. This system has been designed to quickly connect you to the Angelic Guardian Watchers to help guide you in seeking their assitance in all matters of Protection and Guidance to stay safe in all areas of your life.

You receive pdf manual, Chi Ball/Distant  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","""Call upon the powerful Guardian Watcher Angels for protection from all forms of harm with our Angelic Protection System. Get attuned and stay safe. Buy now.""",publish,,0,"2024-04-19 17:00:09",236945234,open,,,,yes,yes,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/poze-simona-site-produse-1-e1716980790173.jpg ! alt :  ! title : poze simona site produse (1) ! desc :  ! caption : ",Angels-Guardian-Watchers-Reiki-Daelyn-Wolf-vjnbce.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Angels-Guardian-Watchers-Reiki-Daelyn-Wolf-vjnbce.pdf,https://simonneellesuryacenter.com/home/shop/angels-guardian-watchers-reiki-spiritual-protection-guidance-healing/,0,,"Daelyn Wolf",simple,,"All Attunements|Collections",#angel|#guardian|#protection,,
"Lord Kuthumi Reiki - Success, Abundance & Manifestation",lord-kuthumi-reiki-success-abundance-manifestation,,24479,"Lord Kuthumi Reiki has been designed to help those who work on self-awareness. As the great earth changes begin to occur, master Kuthumi will be instrumental in the re-emergence of knowledge,  long lost to mankind. In so doing He will provide the key to this inner search. Lord Kuthumi’s energy is warm, glowing and comforting. He is very important in ‘grounding’ us and teaching us to accept and love our life on earth. He works very closely with those who are having a great influence on our consciousness at this time. He particularly helps us in manifesting our dreams and wishes here on earth within our 3D reality. Lord Kuthumi also connects us with nature, earth energies and the elemental spirits. Just by working with Lord Kuthumi we increase the frequency of our own vibration, our soul vibration becomes finer, and this affects our physical and other bodies, and helps us to become more Light, and to give out more Light, and so to become more loving. He helps us in the manifestation of abundance and success in our lives. He assists us in grounding and enjoying life on Earth.

You receive pdf manual, Chi Ball  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Get enlightened with Lord Kuthumi Reiki - a warm, glowing and comforting energy that helps ground us and manifest abundance. Connect with nature and increase your soul's vibration. No prerequisite required.",publish,,0,"2024-04-19 20:00:12",236945234,open,,,,yes,yes,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Kuthu-e1713549469708.png ! alt :  ! title : Kuthu ! desc :  ! caption : ",Lord-Kuthumi-Reiki-uoktoo.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Lord-Kuthumi-Reiki-uoktoo.pdf,https://simonneellesuryacenter.com/home/shop/lord-kuthumi-reiki-success-abundance-manifestation/,0,,"Riza Baleghi",simple,,"All Attunements",#abundance|#kuthumi|#reiki|#succes,,
"Diamond Light Reiki - Heal Mind, Body & Spirit with Etheric Diamonds",diamond-light-reiki-heal-mind-body-spirit-with-etheric-diamonds,,24482,"Prerequisite: Reiki 1st Degree

Diamond Light Reiki is an advanced system of spiritual healing and personal progression that gives you the ability to channel etheric diamond energies. Diamond Light Reiki uses the vibrations of traditional Reiki and those of etheric Diamonds. By combining these 2 tools, you will gain the ability to give powerful healings to yourself and others to bring about profound clearing, healing, re-alignment and focus of mind, body &amp; spirit. For decades, the frequencies of the Diamond have been slowly building within the mind of healers, spiritual seekers and lightworkers from all around the world. These energies are transmitted to us from the higher realms of existence to help us initiate ourselves to pass the threshold from the 3rd dimensional state of reality into the 4th &amp; 5th dimensional planes. The anchoring of the Diamond Light frequencies on mother earth are therefore an essential part of the ascension process that we now see unfolding in our lives. Diamond Light Reiki aligns you with the embodiment of your higher self and celestial light body bringing forth a higher and more refined state of consciousness that is anchored in your awakening to the heart of the diamond. The Diamond/Diamonds aligned with this attunement will be encoded into your auric field, giving you the ability to tap into their energies so you can bring forth healing on all levels of your bring from the mind, body &amp; spirit. Through this activation, you will embody the aspects of your higher self and the multi-dimensional light body bringing with it a more refined state of consciousness that is anchored into your awakening diamond heart. It does so through the next level of healing from energetic blocks, heart purification and the activation of diamond light which are dormant within your DNA.

&nbsp;

<strong>Diamond Light Reiki will help with the following plus much more:</strong>

<ul>
<li>Release of Energy Blocks</li>
<li>Increased Self Respect, Self Love and Self Acceptance</p></li>
<li><p>Opening Space for New Energies to enter into your Life</p></li>
<li><p>Healing of the Mind, Body &amp; Spirit</p></li>
</ul>

<p>You receive pdf manual, Chi Ball  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Unlock the power of Diamond Light energies with Diamond Light Reiki. Clear, heal, and align your mind, body, and spirit for a higher state of consciousness. Prerequisite: Reiki 1st Degree.",publish,,0,"2024-04-19 20:08:41",236945234,open,,,,yes,yes,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-27_113950933-e1718638157615.png ! alt :  ! title : Bild_2024-05-27_113950933 ! desc :  ! caption : ",Diamond-Light-Reiki--dmh0hd.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Diamond-Light-Reiki--dmh0hd.pdf,https://simonneellesuryacenter.com/home/shop/diamond-light-reiki-heal-mind-body-spirit-with-etheric-diamonds/,0,,"Jay Burrell",simple,,"All Attunements|Collections",#Crystal|#diamond|#etheric|#light,,
"The Gemstone Fusion Crystalline Empowerment - Advanced Crystalline Awakening",the-gemstone-fusion-crystalline-empowerment-advanced-crystalline-awakening,,24515,"The Gemstone Fusion Crystalline Flush Empowerment is very similar to the many other etheric crystal attunements that I have channelled but at the same time, it is completely unique. The main difference is that over the years there has been an increase in vibration within the crystal kingdom where this has been transferred to the etheric realms of the crystal world. Although I could write a manual with hundreds of pages where you are attuned to all of the crystals that are available to connect with on an etheric level, I am focusing on a small collection of crystals within this manual where you will be attuned to 6 crystalline energies that fuse their energies with your auric field.

So how did this system come into being?

The Gemstone Fusion Crystalline Empowerment has been channelled to encode these new and highly empowered energies to help with the celestial awakening that will start on the 21st of December 2021 and will continue for several years, accumulating on New Years day in 2025. On the 21st of December 2021, a newly formed portal of energy will be available for all healers, light workers, star seeds and spiritual seekers to gain access to a new dimensional vibration of energy that has been kept hidden from us until this time. This new energy is one that will work over several years to awaken the inner light of the divine that resides within the 8th chakra {transpersonal point}. While the previous work of the Etheric Crystalline Encodings has set the foundation for many ways in which you as a spiritual being can work with the energies of the crystal kingdom. The encoding of the crystalline fusion energies will give you access to the crystals that you can tap into through your heart-felt intention. The fusion of these crystals into your auric field is much stronger than those found on Earth and can be used by simply setting your intention for the energies to flow through you. Furthermore, you can create powerful crystalline elixirs in seconds and increase the strength of the physical crystals if you own them.

<strong>Via your distant attunement, the following crystals will be fused/encoded into your auric field: </strong>

<ul>
<li>Emerald</p></li>
<li><p>Opal</p></li>
<li><p>Moldavite</p></li>
<li><p>Morganite</p></li>
<li><p>Samadhi Quartz</p></li>
<li><p>Sapphire</p></li>
</ul>

<p>You receive pdf manual, Chi Ball  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Looking for an etheric crystal attunement? The Gemstone Fusion Crystalline Flush Empowerment is one of a kind with 6 crystalline energies fused into your auric field, perfect for healers and spiritual seekers. Attune to Emerald, Opal, Moldavite, Morganite, Samadhi Quartz, and Sapphire. Get your pdf manual and Chi Ball Attunement today!",publish,,0,"2024-04-19 20:28:12",236945234,open,,,,yes,yes,,25,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/gems-e1720624344588.png ! alt :  ! title : gems ! desc :  ! caption : ",The-Gemstone-Fusion-Empowerment--fxk1ac.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/The-Gemstone-Fusion-Empowerment--fxk1ac.pdf,https://simonneellesuryacenter.com/home/shop/the-gemstone-fusion-crystalline-empowerment-advanced-crystalline-awakening/,0,,"Jay Burrell",simple,,"All Attunements|Collections",#crystalline|#emerald|#fusion|#gemstone|#moldavite|#morganite|#opal|#quarz|#sapphire,,
"Soul Contract Healing Reiki - Soul Healing & Spirit Awakening",soul-contract-healing-reiki-soul-healing-spirit-awakening,,24532,"Prerequisite: Usui Reiki 1st Degree

&nbsp;

Every person on Earth has a soul. It is this soul that creates a spiritual contract before each incarnation. This contract gives the soul the ability to write down what they will experience in their lifetime. The contracts are written so the soul can evolve and ultimately ascend to higher realms of consciousness and for some, they will gain a complete release from the cycle of birth, death and rebirth.  You will choose many of the “big” challenges that you will encounter during your lifetime but before you are reborn, you will take time to sit with your spirit guides, guardian angels and the karmic council to review your contract. Each lifetime will have new lessons {good and bad} that you need to learn for your soul to move forward. As hard as it may be to believe, you are the one who chooses all of the things you have experienced and the things you will experience. You might be asking yourself “Why would I choose these things because they are so hard, painful and upsetting” But from a higher perspective, you chose all of your life’s lessons so your soul can grow and you can master the lessons from each situation.

<ul>
<li>You choose when you will be born.</p></li>
<li><p>You choose where you will be born.</p></li>
<li><p>You will choose where you will live.</p></li>
<li><p>You will choose your parents, brothers, sisters and family before you arrive on earth and they will also choose you.</p></li>
<li><p>You will choose specific major challenges that you will encounter in your life.</p></li>
<li><p>You choose the people you will interact with while on Earth.</p></li>
<li><p>You also choose when you will die.</p></li>
</ul>

<p>You and your spiritual team created this contract for your life. You knew there would be free will and that you might not follow the path you have created and your soul was ok with that. It knows that you will learn things no matter what path you decide to take. You can’t get it wrong or mess it up in any way because if you decide to ignore your contract to walk another path, this was in your soul contract too!

<strong>This attunement will help you to look at your own soul contract as well as look within to answer deeply held questions such as </strong>

<ul>
<li>Why do so many people suffer?</p></li>
<li><p>Why do people experience depression, ill health, pain, disease, illness and anguish?</p></li>
<li><p>Why can't everyone be happy?</p></li>
<li><p>Why can't everybody just get along with each other?</p></li>
<li><p>Why is there such deep-rooted pain in people's lives?</p></li>
<li><p>Why do bad things happen to good people and good things happen to bad people?</p></li>
</ul>

<p>You receive pdf manual, Chi Ball  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Discover the mysteries of your soul contract with our Usui Reiki 2nd Degree course. Understand why you choose life's lessons and how to grow from them. Get attuned today.",publish,,0,"2024-04-19 20:51:55",236945234,open,,,,yes,yes,,20,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-26_231344600-e1716758044560.png ! alt :  ! title : Bild_2024-05-26_231344600 ! desc :  ! caption : ",Soul-Contract-Healing-Reiki-pyzldw.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Soul-Contract-Healing-Reiki-pyzldw.pdf,https://simonneellesuryacenter.com/home/shop/soul-contract-healing-reiki-soul-healing-spirit-awakening/,0,,"Jay Burrell",simple,,"All Attunements|Collections",#contract|#healing|#reiki|#soul,,
"Soul Relationship Empowerment",soul-relationship-empowerment,,24534,"The Soul Relationship Empowerment is a channeled Attunement that works to bridge the gap between Ego and Soul so you can have a more Intimate, Healthy Relationship. While this is primarily intended for Romantic Relationships, the energies can also be used to help with any Relationship that is in need of Healing. Rather than coming from a place of Fear and Withholding, you can come from a place of Openness and Spiritual Expansion. This Empowement helps to calm the Ego so that the Soul can come forth within all of your Relationships. It is an Energy that removes the Ego Defense while creating a Safe Space so your Soul can come through.

You receive pdf manual, Chi Ball  Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Improve your relationships with the Soul Relationship Empowerment. Bridge the gap between ego and soul for a more intimate, healthy connection. Get attuned today!",publish,,0,"2024-04-19 20:58:29",236945234,open,,,,yes,yes,,10,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-26_192056448-e1727367171246.png ! alt :  ! title : Bild_2024-05-26_192056448 ! desc :  ! caption : ",Soul-Relationship-Empowerment-i48lng.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Soul-Relationship-Empowerment-i48lng.pdf,https://simonneellesuryacenter.com/home/shop/soul-relationship-empowerment/,0,,"Stephanie Brail",simple,,"All Attunements|Collections",#empowerment|#relationship|#soul,,
"Tiger Soul Reiki",tiger-soul-reiki,,24541,"<pre class=""OXQzmM uvtEMb"" data-hook=""product-title"">Tiger Soul - Stimulate the 3rd Eye Chakra &amp; Enhance Joy &amp; Vitality</pre>

Taken from the founder's own words: Tiger Soul is one of the most powerful energetic tools that Hari has created. The energies of Tiger Soul are unique in that it works to stimulate Vitality and enhance the Immune system. It works by encouraging Passion &amp; Enthusiasm while bringing Courage and Tempered Mental Clarity to your Outlook on life. Tiger Soul is useful in slowing down the 3rd Eye Chakra by flushing out excess energies that are no longer in alignment with the Higher Self. It will ground and center, thus strengthening the connection with the Will and Personal Power.

You receive pdf manual, Chi Ball Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Get the unique and powerful energetic tool, Tiger Soul, to stimulate vitality, boost immunity, promote passion, courage &amp; mental clarity. Includes pdf manual, attunement &amp; certificate.",publish,,0,"2024-04-19 21:20:44",236945234,open,,,,yes,yes,,50,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-06-25_222044915-e1722369436198.png ! alt :  ! title : Bild_2024-06-25_222044915 ! desc :  ! caption : ",TIGER_SOUL_THIS_ONE-sxdwvk.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/TIGER_SOUL_THIS_ONE-sxdwvk.pdf,https://simonneellesuryacenter.com/home/shop/tiger-soul-reiki/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#reiki|#soul|#tiger,,
"The Remote Viewing Energy Flush Empowerment",the-remote-viewing-energy-flush-empowerment,,24569,"Prerequisite: Reiki 1st Degree

<em>The Remote Viewing Energy Flush Empowerment has been channelled after a student asked if it was possible due to their interest in the subject. Although this is a subject that I do not have much knowledge of, I asked Spirit if it was permitted for me to bring forth this new attunement where I received the go-ahead. I then opened myself up to receive the channelling which has resulted in this short but filled-to-the-brim manual. I hope you enjoy it!</em>

Remote viewing is defined as the ability to acquire accurate information about a distant or non-local place, person or event without using your physical senses or any other obvious means. It’s associated with the idea of clairvoyance, seemingly being able to spontaneously know something without actually knowing how you got the information. It is also sometimes called “anomalous cognition” or “second sight.” Many of us experience this from time to time as an intuitive flash of insight that turns out to be correct. Many well-known entrepreneurs and business people, like George Soros, Conrad Hilton, Thomas Alva Edison and Akio Morita, the co-founder of Sony, have attributed their business success to this ability. And we’ve all seen natural psychics perform seemingly amazing feats of mental skill on TV. The difference between natural psychic receptivity and remote viewing is that the latter is a trained skill, a controlled process, that the average person can learn to do, to some degree or another.

This ability seems to be distributed in the human population in varying degrees just like musical skill, some people are really good at playing an instrument, but almost everyone can hum or whistle a tune. Another way to look at Remote Viewing is that it is a method of tapping into the mind of the “Universal Consciousness” and transcending space and time to bring forth the unconscious and superconscious into the consciousness. This technique is also known as the controlled extrasensory perception to gain information or visuals from a subject who is not physically present.  Using a set of technical rules, the remote viewer can learn how to perceive a target - a person, object or event - that is located distantly in space and time. It is said that a remote viewer can perceive a target in the past, present or future, located in the next room, across the country, around the world or theoretically, on another world or in another universe because time and space do not exist.

You receive pdf manual, Chi Ball Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Learn the controlled extrasensory perception technique of Remote Viewing and tap into the mind of the ""Universal Consciousness."" Get attuned with the Remote Viewing Energy Flush Empowerment today!",publish,,0,"2024-04-19 22:14:24",236945234,open,,,,yes,yes,,25,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-26_184905021-e1716742168483.png ! alt :  ! title : Bild_2024-05-26_184905021 ! desc :  ! caption : ",The-Remote-Viewing-Energy-Flush-8bnwpz.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/The-Remote-Viewing-Energy-Flush-8bnwpz.pdf,https://simonneellesuryacenter.com/home/shop/the-remote-viewing-energy-flush-empowerment/,0,,"Jay Burrell",simple,,"All Attunements|Collections",#energy|#flush|#remote,,
"Budha Bliss Reiki",budha-bliss-reiki,,24601,"Budha or Saumya is the Hindu god of merchandise and the protector of merchants. In Hindu mythology, Budha is also the name and personification of the planet Mercury. Budha is said to be the son of lunar god ""Chandra"" and ""Tara"".

He is the most intelligent of all. Budha Bliss Reiki was channeled to attracts the life force and blessing from Lord Budha.

The energy of Budha Bliss Reiki will infuse your brain to increases your intelligence, improves memory and concentration, and also enhances learning ability. It will also stimulates and increases the efficiency of your mind, so you can think fast, clear, focus and sharp.

Budha Bliss Reiki will becoming a Super Quantum Leap for your mind and intelligence.

You receive pdf manual, Chi Ball Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Get a mind boost with Budha Bliss Reiki – an intelligent blend of energy that’ll enhance your concentration and learning ability. Order now!",publish,,0,"2024-04-19 22:42:13",236945234,open,,,,yes,yes,,20,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-22_233302916-e1716413603233.png ! alt :  ! title : Bild_2024-05-22_233302916 ! desc :  ! caption : ",Budha-Bliss-Reiki-puwwg1.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Budha-Bliss-Reiki-puwwg1.pdf,https://simonneellesuryacenter.com/home/shop/budha-bliss-reiki/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#bliss|#buddha|#reiki,,
"Ethereal Tiger Force",ethereal-tiger-force,,24606,"Ethereal Tiger Force was channeled to strengthen your physical power, stamina and body immune. It will energize the mental power and brings new spirit, optimism to facing any problems in your life without fear and doubt.

Ethereal Tiger Force is also develop in a powerful auric presence with an amazingly strong, high-frequency magnetic-field, so you will be respected, honored by others, and have a power to influences and subdue the others.

Ethereal Tiger Force will protect against ""bad vibes"", ""psychic attacks"" and ""emotional pollution"", and all forms of negativities.

It is also helps to maintain your health condition, and brings energy to rejuvenates the physical system, also accelarates the cells regeneration.","Boost your physical power and immune system with Ethereal Tiger Force. Protect against negativity and influence others with its powerful auric presence. Rejuvenate your body and mind.",publish,,0,"2024-04-19 23:07:27",236945234,open,,,,yes,yes,,55,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/ethereal-e1718636151887.jpg ! alt :  ! title : ethereal ! desc :  ! caption : ",Ethereal-Tiger-Force-02bz1h.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Ethereal-Tiger-Force-02bz1h.pdf,https://simonneellesuryacenter.com/home/shop/ethereal-tiger-force/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",#ethereal|#force|#tiger,,
"Reinforcement Magick Essence",reinforcement-magick-essence,,24803,"Was channeled and created to strengthen and boost your magickal energies and improve your abilities of them. This essence assist you to help more people and all living beings with your magickal energies.

If you are an energy healer who uses your hands to send energy, such as a Reiki healer, this Reinforcement Magick Essence will boost your ability to sending of energy. This Reinforcement Magick Essence will also boost your manifestation power to manifest your goals and get results shortly.

It will stimulate the development of your intuition and soul sensitivity to know and read every ""messages"" from the universe to helps you to overcome any problems in your life -- And also enhance the development of many of the psychic powers.

You receive pdf manual, Chi Ball Attunement, an emailed will be sent to you when your attunement are ready + certificate.","Boost your magickal energies, intuition &amp; manifestation power with Reinforcement Magick Essence. Enhance your psychic powers &amp; become a better energy healer. Get your Chi Ball Attunement today!",publish,,0,"2024-04-20 20:13:51",236945234,open,,,,yes,yes,,40,,,,,,zero-rate,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2024/04/Bild_2024-05-24_221259232-e1718638067745.png ! alt :  ! title : Bild_2024-05-24_221259232 ! desc :  ! caption : ",Reinforcement-Magick-Essence-va2lfz.pdf::https://simonneellesuryacenter.com/wp-content/uploads/woocommerce_uploads/2024/04/Reinforcement-Magick-Essence-va2lfz.pdf,https://simonneellesuryacenter.com/home/shop/reinforcement-magick-essence/,0,,"Hari Andri Winarso",simple,,"All Attunements|Collections",,,
